household_id,sector,qualification,salary,own_house,house_rent,own_car,car_expenses,married,number_of_children,food,milk,bread,meat,fruits,vegetables,transport,education,healthcare,utilities,clothing,entertainment,sports,savings
1,Health,Cadre,60860,VRAI,0,FAUX,0,VRAI,1,16164,2424,1616,4849,3232,4043,3219,8314,4872,4335,1267,4168,0,18521
2,Finance,MaŒtrise,45311,FAUX,27568,VRAI,9396,VRAI,0,13705,2055,1370,4111,2741,3428,0,0,3171,2328,2671,1433,1573,-16534
3,Health,Cadre,91551,VRAI,0,FAUX,0,VRAI,0,23483,3522,2348,7044,4696,5873,8921,0,8997,6797,2946,2278,0,38129
4,Construction,Cadre,108555,VRAI,0,VRAI,6152,VRAI,3,30522,4578,3052,9156,6104,7632,0,11073,8395,6029,6381,6378,0,33625
5,Health,MaŒtrise,51534,VRAI,0,VRAI,4016,FAUX,0,14886,2232,1488,4465,2977,3724,0,0,3275,3857,1766,1754,0,21980
6,Extractives,Ex‚cution,33006,VRAI,0,VRAI,5695,VRAI,2,8907,1336,890,2672,1781,2228,0,3998,2954,2250,1883,1734,0,5585
7,Commerce,Ex‚cution,38067,VRAI,0,VRAI,5454,VRAI,4,12294,1844,1229,3688,2458,3075,0,4330,3592,2442,943,2118,0,6894
8,Construction,MaŒtrise,46910,VRAI,0,VRAI,3206,VRAI,1,13788,2068,1378,4136,2757,3449,0,3291,4446,3014,1995,2569,1603,12998
9,Health,Cadre,115820,VRAI,0,VRAI,6157,FAUX,1,38314,5747,3831,11494,7662,9580,0,13127,10837,8583,3180,7485,0,28137
10,Construction,MaŒtrise,55707,VRAI,0,FAUX,0,VRAI,2,16306,2445,1630,4891,3261,4079,5063,7580,2804,3638,2044,1732,1309,15231
11,Agriculture,Cadre,90303,VRAI,0,VRAI,4853,FAUX,1,28863,4329,2886,8658,5772,7218,0,10947,5183,7218,2769,6215,0,24255
12,Industry,Cadre,98623,FAUX,23949,VRAI,4707,VRAI,5,27042,4056,2704,8112,5408,6762,0,11559,8686,5634,4845,3786,0,8415
13,Agriculture,MaŒtrise,41930,FAUX,19339,FAUX,0,VRAI,2,12960,1944,1296,3888,2592,3240,3517,2166,3170,2381,1920,1204,0,-4727
